pair_id,iTE_relation,TG_relation,iTE_paper,TG_paper,exact,semantic,relation_constrained,neighborhood,neighborhood_component,role_component,predicate_component,tie
PAIR-b7e59f15af48,MP1-iTE-P0334-01,MP1-TG-P0174-03,P0334,P0174,0,0.8457608669996262,0.649744563549757,0.5264623175064723,0.03333333333333333,0.5,0.0,b7e59f15af48d9e4116240ecbdcce7f199d1ee535133538bb1d198e27125c631
PAIR-425b7598dbe5,MP1-iTE-P0334-01,MP1-TG-P0174-04,P0334,P0174,0,0.853339210152626,0.6546704865992069,0.5308792464222226,0.03571428571428571,0.5,0.0,425b7598dbe5f4c0c2e2c4e6f552db63ac50e0e137d942811238f1f1b1f18d31
PAIR-20a3c187e58e,MP1-iTE-P0334-01,MP1-TG-P0175-03,P0334,P0175,0,0.7135170549154282,0.4637860856950283,0.3710288685560227,0.0,0.0,0.0,20a3c187e58ed115526365c3bb401075b98e1909d97a8133f8ab537765b9f2b5
PAIR-84e100679515,MP1-iTE-P0334-01,MP1-TG-P0176-02,P0334,P0176,0,0.8645833432674408,0.6619791731238365,0.5295833384990692,0.0,0.5,0.0,84e100679515131b544ebc98510af0b54e8b81931b6310cddefbb6b28b238fb7
PAIR-671d47a1e5b3,MP1-iTE-P0334-01,MP1-TG-P0180-01,P0334,P0180,0,0.8433399796485901,0.6481709867715836,0.5252034560839336,0.03333333333333333,0.5,0.0,671d47a1e5b3b755c14071ae150e3e27e623ab48730599dd47474b65cfe7fef5
PAIR-4b0ea8fc95f2,MP1-iTE-P0334-01,MP1-TG-P0188-01,P0334,P0188,0,0.7117786705493927,0.5626561358571053,0.4501249086856842,0.0,0.5,0.0,4b0ea8fc95f23d139888a7887f7a4307f6272233b2f79c96b8b8160868a63dbb
PAIR-9fe6a6daff17,MP1-iTE-P0334-01,MP1-TG-P0227-01,P0334,P0227,0,0.8879524767398834,0.6771691098809243,0.5484019545714062,0.03333333333333333,0.5,0.0,9fe6a6daff17331091bc5924877fda6c326f58144b07308cbc74c0d4b43bac02
PAIR-505f5fd6d042,MP1-iTE-P0334-01,MP1-TG-P0227-02,P0334,P0227,0,0.8679721355438232,0.6641818881034851,0.5380121771494548,0.03333333333333333,0.5,0.0,505f5fd6d042f89796e142609c19b0008ab85247f96f83257c20428662f5099d
PAIR-59278b65e165,MP1-iTE-P0334-01,MP1-TG-P0247-04,P0334,P0247,0,0.8899717777967453,0.6784816555678844,0.5499281815971647,0.03571428571428571,0.5,0.0,59278b65e1658e72bd78912443f5a14f66805c43b24b6fc1e6486c59c098d44b
PAIR-e14dbd0231aa,MP1-iTE-P0334-01,MP1-TG-P0267-02,P0334,P0267,0,0.8554624021053314,0.6560505613684654,0.5319833062376295,0.03571428571428571,0.5,0.0,e14dbd0231aa0c554705230a12c4397131d9254d32ebadcbeb360ca7b1ac5227
PAIR-5b625ee4f1c3,MP1-iTE-P0334-01,MP1-TG-P0174-05,P0334,P0174,0,0.8094970136880875,0.6261730588972568,0.5009384471178054,0.0,0.5,0.0,5b625ee4f1c3bed5b2f2d58d16f4882a26e9a27def3181d85943c413796b8e46
PAIR-aaf75819ac97,MP1-iTE-P0334-01,MP1-TG-P0176-03,P0334,P0176,0,0.7956432104110718,0.6171680867671967,0.49373446941375737,0.0,0.5,0.0,aaf75819ac979de6b777025d923297a8df5b9ff3d86e4d58b805cae4c9791d16
PAIR-5e31568343d0,MP1-iTE-P0334-02,MP1-TG-P0003-02,P0334,P0003,0,0.8490483313798904,0.6518814153969288,0.5281717989842097,0.03333333333333333,0.5,0.0,5e31568343d009be953849880b1da2eb7afc5a5a5d6ab5870fcd715a2558d0dc
PAIR-119cffd8b06a,MP1-iTE-P0334-02,MP1-TG-P0142-03,P0334,P0142,0,0.7481014579534531,0.4862659476697445,0.3890127581357956,0.0,0.0,0.0,119cffd8b06af7399cd9168e56e05229b16b088986d2d82fda1dc72e49ea8eb3
PAIR-c3dee601cc12,MP1-iTE-P0334-02,MP1-TG-P0143-01,P0334,P0143,0,0.7810905426740646,0.507708852738142,0.4061670821905137,0.0,0.0,0.0,c3dee601cc12ce3af733b8e6f31a639e26ec3129817aed966067e600602bc95d
PAIR-a6ee7961033f,MP1-iTE-P0334-02,MP1-TG-P0143-02,P0334,P0143,0,0.8215455412864685,0.6340046018362046,0.5138703481356304,0.03333333333333333,0.5,0.0,a6ee7961033f898812eddce71f5fc8a7ccf575b4933fa71cd18603aefa4cdf93
